Parameter,Category Description,Parameter Description,Basic Criterion,Medium Criterion,High Criterion,Optimised Parameter Name,Domain / Category,Category Overview,,
Augmented Reality in Navigation,,"Navigation guidance overlaid in real time on a live front-camera video feed, displaying directional arrows, street names, lane guidance, and POI markers. Can be rendered on the IVI central screen and/or in the instrument cluster for driver-axis visibility.",,,"
Can be visualized in the IVI screen or in the Cluster in driver axis",Augmented Reality Navigation Overlay,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Map visualization in Cluster,,"Display of the navigation map (beyond a simple route ribbon) within the digital instrument cluster, giving the driver a full spatial view of the road ahead and surrounding context without looking away from the driving axis.",,,"
Navigation map displayed in the digital instrument cluster.",Navigation Map Display in Instrument Cluster,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Trailer/Tow Specific  Navigation (low clearance alert included),,"Navigation mode specifically designed for when the vehicle is towing a trailer. This typically includes considerations for vehicle dimensions, weight, and potential restrictions (e.g., low clearance alerts, routes avoiding sharp turns or steep grades).",,,Navigation mode specifically designed for when the vehicle is towing a trailer,In-Vehicle Navigation System,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Camera Recorder - Dash Cam,,Dashcam functionality using on-board cameras. ,,,"Fully integrated: existing onboard cameras used as dashcam, footage stored to internal memory or USB with in-car review.",Integrated Dashcam (Camera Recorder),,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Appstore,,"An in-vehicle application store embedded in the infotainment system, enabling drivers to browse, download, and manage third-party apps (navigation, streaming, productivity) directly on the head unit.",Pre-loaded curated apps only — no user-downloadable store.,Basic OEM app store with limited downloadable catalogue.,"Full open/semi-open app store with regular catalogue updates, ratings, and OTA app installation.",In-Vehicle App Store,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Hybrid radio (FM/DAB+Internet),,"Radio system combining traditional broadcast reception (FM, DAB+) with internet-based IP radio streaming, automatically or manually switching between sources to maintain uninterrupted audio when broadcast signal quality drops.",,,Hybrid radio with seamless automatic switching between FM/DAB broadcast and IP streaming.,Hybrid Radio (FM / DAB / Internet Streaming),,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Music streaming : Spotify/ Apple Music/Amazon Music,,"Native integration of major music streaming platforms (Spotify, Apple Music, Amazon Music, etc.) directly within the infotainment system, accessible without requiring a connected smartphone.",,,Native embedded streaming with built-in SIM/embedded data — no smartphone required.,Native Music Streaming Integration,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Video streming: Youtube/Netflix/Amazon Prime/Other,,"Native integration of video streaming services (YouTube, Netflix, Amazon Prime Video, etc.) on the infotainment display, typically restricted to parked-vehicle use or rear-seat screens.",,,Multiple video streaming services natively embedded.,Native Video Streaming Integration,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Web Browser,,"Full internet browser embedded in the infotainment system, providing unrestricted web access (typically when parked). Higher levels support modern web standards and may allow passenger-side browsing while in motion.",Basic embedded browser with limited functionality (parked only).,Full-featured embedded browser supporting modern web standards (parked only).,Full browser with optional passenger use while driving and embedded data connectivity.,Integrated Web Browser,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Gaming  (Headunit= medium); (immersive/St Wheel / Pedals = high) Car as a gamepad,,In-cabin gaming capability. ,Smartphone/device mirroring for gaming on the head unit screen.,Games playable natively on the vehicle's head unit (touch/controller input).,"Immersive gaming using vehicle controls (steering wheel, pedals) or dedicated controllers with advanced graphics.",In-Vehicle Gaming,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
"Smart Device Screen Casting (i.e. Chromecast, Airplay , Miracast etc…)",,"Direct wireless screen mirroring or casting from smartphones and tablets to the infotainment display, using consumer casting standards such as Chromecast, AirPlay, or Miracast — beyond the scope of CarPlay/Android Auto.",,,"Wireless casting supporting multiple simultaneous protocols (Chromecast, AirPlay, Miracast).",Wireless Screen Casting (Chromecast / AirPlay / Miracast),,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
"Wireless Mirroring Carplay & Android Auto (Only One wireless M: 12,Both wireless H :14)",,Wireless smartphone projection via Apple CarPlay and/or Android Auto. Medium = one platform wireless only; High = both CarPlay and Android Auto supported wirelessly simultaneously.,,One of the two (CarPlay or Android Auto) supported wirelessly; the other is wired.,Both Apple CarPlay and Android Auto supported fully wirelessly.,Wireless Apple CarPlay and Android Auto,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
"Branded premium audio ( Mid<12 spk, High =>12 spk )",,"Factory-fitted premium audio system by a recognised brand (e.g., Bose, Harman Kardon, Meridian, Bang & Olufsen). ",,Branded premium audio system with fewer than 12 speakers.,Branded premium audio system with 12 or more speakers.,Branded Premium Audio System,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Premium Audio (H : 3D sound ),,"Advanced audio system delivering a three-dimensional soundstage through height channels or object-based spatial audio processing, creating an immersive listening experience beyond standard surround sound.",,,3D/immersive sound with dedicated height channels and spatial audio processing.,Premium 3D Spatial Audio System,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Premium Audio (H : 4D sound ),,"Premium audio enhanced with haptic/tactile transducers integrated into the seats, synchronised to bass content and audio events to create a full-body immersive listening experience.",,,Full 4D audio with seat vibrators synchronised to audio content for whole-body immersion.,Premium 4D Audio System with Seat Haptics,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Premium Audio (H : Dolby atmos ),,Audio system certified for Dolby Atmos playback — the industry-leading object-based surround-sound format — delivering cinema-quality spatial audio within the vehicle cabin.,,,Officially certified Dolby Atmos playback system.,Premium Audio with Dolby Atmos,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Targeted Audio Via Headrest Speakers,,"Speakers integrated into the seat headrests to create personalised audio zones for individual occupants, enabling discrete navigation prompts, phone calls, or tailored sound experiences per seat position.",,Headrest speakers for navigation or phone calls only for the driver,Individual audio zones via headrest speakers for all occupants with personalised sound per seat.,Personalised Audio via Headrest Speakers,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Noise cancellation (Engine 1),,Active Noise Cancellation (ANC) system using microphones and the audio system's speakers to generate anti-phase sound waves that specifically counteract and reduce engine noise perceived inside the cabin.,,,Broadband ANC targeting multiple engine harmonics across all RPM ranges.,Active Engine Noise Cancellation,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Noise cancellation (Road 2),,"Active Road Noise Cancellation (RNC) system that detects and cancels tyre and road surface noise transmitted through the vehicle structure into the cabin, improving ride refinement.",,,Broadband RNC with adaptive tuning for different road surfaces and speeds.,Active Road Noise Cancellation,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Noise cancellation (wind 3),,"Active Wind Noise Cancellation system targeting aerodynamic and wind buffeting noise at higher speeds, complementing passive sealing measures for a quieter cabin at motorway speeds.",,,Adaptive wind noise cancellation active across speed range with real-time adjustment.,Active Wind Noise Cancellation,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
EV sound generator internal,,"Artificially generated interior sound design for EVs, providing acoustic feedback linked to throttle, speed, and drive mode to enrich the driving experience and compensate for the absence of engine sound.",,,"Fully adaptive sound linked to acceleration, speed, torque, and drive mode — with user customisation options.",EV Interior Sound Generator,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
EV sound generator external,,"Distinctive or emotional artificial sound projected externally by an EV, which is *in addition to* or a *stylized version of* the mandatory Acoustic Vehicle Alerting System (AVAS) sound. Standard, compliant AVAS alone is 'No' for this feature. This feature is classified 'High' if any such distinct, additional or uniquely branded external sound design (standard or optional) is present.",,,"Distinctive external artificial sound for an EV, beyond the standard mandatory AVAS.",EV Exterior Sound Design (Beyond AVAS),,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
4G/5G Wi-Fi Hotspot,,Embedded cellular modem providing an in-car Wi-Fi hotspot for passengers. ,,4G LTE in-car Wi-Fi hotspot (embedded or SIM-based).,5G in-car Wi-Fi hotspot with high-bandwidth data plan.,In-Car 4G / 5G Wi-Fi Hotspot,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
In-vehicle Voice Assistant,,"Voice-activated assistant for hands-free control of vehicle systems, navigation, and infotainment. ",Cloud-connected voice recognition for basic vehicle and infotainment commands.,"Advanced conversational AI with LLM integration (e.g., ChatGPT) for complex queries.","Proactive AI assistant that learns habits, provides predictive suggestions, and manages commands across all vehicle domains.",In-Vehicle AI Voice Assistant,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
"Connected Profiles (with all parameters music, adas, comfort)",,"Cloud-synchronised personalisation profiles storing and automatically applying a comprehensive set of user preferences — seating, mirrors, climate, ADAS sensitivity, favourite destinations, audio settings — whenever a recognised driver enters the vehicle.","Local driver profiles stored on vehicle only (seat, mirrors, favourites).","Cloud-synced profiles covering key preferences (seat, climate, audio) accessible across vehicles.","Full cloud-synced profiles covering all domains: seating, ADAS, navigation, infotainment, music, and payment credentials.",Cloud-Connected Driver Personalisation Profiles,,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Customer Wallet/Payment Gateway,,"Embedded digital payment capability within the infotainment system allowing the driver to pay for services — EV charging, parking, tolls, fuel, subscriptions — directly from the vehicle without a physical card or separate device.",Linked payment card for EV charging only.,In-car payment for charging and parking via integrated wallet.,"Full in-car payment gateway: charging, parking, tolls, on-demand subscriptions, and in-car marketplace.",In-Vehicle Payment Gateway (Digital Wallet),,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
Biometric recognition for personalization and buy (fingerprint/face/voice),,"Use of fingerprint, facial, or voice biometrics for secure driver identification, enabling automatic profile loading and authorising in-car purchases without a PIN or password.",Single biometric modality for driver identification only.,Biometric ID used for profile personalisation and basic in-car authentication.,"Multi-modal biometrics (fingerprint + face + voice) for personalisation, payment authorisation, and access control.",Biometric Driver Recognition (Fingerprint / Face / Voice),,Infotainment & Connectivity,"All in-vehicle information, entertainment, and connectivity systems: navigation (embedded and connected), audio/video streaming, voice AI assistants, smartphone integration, in-car payments, and OTA services. This domain defines the digital experience of the vehicle and is one of the fastest-moving competitive battlegrounds — differentiating premium brands through interface quality, content ecosystem breadth, and AI-driven personalisation.",
