Domain / Category,Parameter,Category Description,Parameter Description,Basic — Criterion,Medium — Criterion,High — Criterion,Optimised Parameter Name
INFOT.,"Wireless Mirroring Carplay & Android Auto (Only One wireless M: 12,Both wireless H :14)",,Wireless smartphone projection via Apple CarPlay and/or Android Auto. Medium = one platform wireless only; High = both CarPlay and Android Auto supported wirelessly simultaneously.,Both CarPlay and Android Auto via wired connection only.,One of the two (CarPlay or Android Auto) supported wirelessly; the other is wired.,Both Apple CarPlay and Android Auto supported fully wirelessly.,Wireless Apple CarPlay and Android Auto
INFOT.,"Branded premium audio ( Mid<12 spk, High =>12 spk )",,"Factory-fitted premium audio system by a recognised brand (e.g., Bose, Harman Kardon, Meridian, Bang & Olufsen). ",Standard (non-branded) audio system.,Branded premium audio system with fewer than 12 speakers.,Branded premium audio system with 12 or more speakers.,Branded Premium Audio System
INFOT.,Premium Audio (H : 3D sound ),,"Advanced audio system delivering a three-dimensional soundstage through height channels or object-based spatial audio processing, creating an immersive listening experience beyond standard surround sound.",Standard stereo or basic surround audio.,Multi-channel surround sound without height channels.,3D/immersive sound with dedicated height channels and spatial audio processing.,Premium 3D Spatial Audio System
INFOT.,Premium Audio (H : 4D sound ),,"Premium audio enhanced with haptic/tactile transducers integrated into the seats, synchronised to bass content and audio events to create a full-body immersive listening experience.",Standard audio — no haptic/tactile integration.,Seat-mounted tactile transducers for bass enhancement only.,Full 4D audio with seat vibrators synchronised to audio content for whole-body immersion.,Premium 4D Audio System with Seat Haptics
INFOT.,Premium Audio (H : Dolby atmos ),,Audio system certified for Dolby Atmos playback — the industry-leading object-based surround-sound format — delivering cinema-quality spatial audio within the vehicle cabin.,Standard multi-channel surround sound.,Object-based audio processing without official Dolby Atmos certification.,Officially certified Dolby Atmos playback system.,Premium Audio with Dolby Atmos
INFOT.,Targeted Audio Via Headrest Speakers,,"Speakers integrated into the seat headrests to create personalised audio zones for individual occupants, enabling discrete navigation prompts, phone calls, or tailored sound experiences per seat position.",Standard cabin audio only — no headrest speakers.,Headrest speakers for navigation or phone calls in front row.,Individual audio zones via headrest speakers for all occupants with personalised sound per seat.,Personalised Audio via Headrest Speakers
INFOT.,Noise cancellation (Engine 1),,Active Noise Cancellation (ANC) system using microphones and the audio system's speakers to generate anti-phase sound waves that specifically counteract and reduce engine noise perceived inside the cabin.,No active engine noise cancellation — passive insulation only.,ANC targeting primary engine frequency band.,Broadband ANC targeting multiple engine harmonics across all RPM ranges.,Active Engine Noise Cancellation
INFOT.,Noise cancellation (Road 2),,"Active Road Noise Cancellation (RNC) system that detects and cancels tyre and road surface noise transmitted through the vehicle structure into the cabin, improving ride refinement.",No active road noise cancellation.,RNC targeting primary tyre/road resonance frequencies.,Broadband RNC with adaptive tuning for different road surfaces and speeds.,Active Road Noise Cancellation
INFOT.,Noise cancellation (wind 3),,"Active Wind Noise Cancellation system targeting aerodynamic and wind buffeting noise at higher speeds, complementing passive sealing measures for a quieter cabin at motorway speeds.",No active wind noise cancellation.,Wind noise reduction at specific resonance frequencies.,Adaptive wind noise cancellation active across speed range with real-time adjustment.,Active Wind Noise Cancellation
INFOT.,EV sound generator internal,,"Artificially generated interior sound design for EVs, providing acoustic feedback linked to throttle, speed, and drive mode to enrich the driving experience and compensate for the absence of engine sound.",Fixed artificial internal sound independent of driving mode.,"Internal sound varying by drive mode (Eco, Normal, Sport).","Fully adaptive sound linked to acceleration, speed, torque, and drive mode — with user customisation options.",EV Interior Sound Generator
INFOT.,EV sound generator external,,"Distinctive or emotional artificial sound projected externally by an EV, which is *in addition to* or a *stylized version of* the mandatory Acoustic Vehicle Alerting System (AVAS) sound. Standard, compliant AVAS alone is 'No' for this feature. This feature is classified 'High' if any such distinct, additional or uniquely branded external sound design (standard or optional) is present.",—,—,—,EV Exterior Sound Design (Beyond AVAS)
INFOT.,4G/5G Wi-Fi Hotspot,,Embedded cellular modem providing an in-car Wi-Fi hotspot for passengers. ,No integrated Wi-Fi hotspot — phone tethering only.,4G LTE in-car Wi-Fi hotspot (embedded or SIM-based).,5G in-car Wi-Fi hotspot with high-bandwidth data plan.,In-Car 4G / 5G Wi-Fi Hotspot
INFOT.,In-vehicle Voice Assistant,,"Voice-activated assistant for hands-free control of vehicle systems, navigation, and infotainment. ",Cloud-connected voice recognition for basic vehicle and infotainment commands.,"Advanced conversational AI with LLM integration (e.g., ChatGPT) for complex queries.","Proactive AI assistant that learns habits, provides predictive suggestions, and manages commands across all vehicle domains.",In-Vehicle AI Voice Assistant
INFOT.,"Connected Profiles (with all parameters music, adas, comfort)",,"Cloud-synchronised personalisation profiles storing and automatically applying a comprehensive set of user preferences — seating, mirrors, climate, ADAS sensitivity, favourite destinations, audio settings — whenever a recognised driver enters the vehicle.","Local driver profiles stored on vehicle only (seat, mirrors, favourites).","Cloud-synced profiles covering key preferences (seat, climate, audio) accessible across vehicles.","Full cloud-synced profiles covering all domains: seating, ADAS, navigation, infotainment, music, and payment credentials.",Cloud-Connected Driver Personalisation Profiles
INFOT.,Customer Wallet/Payment Gateway,,"Embedded digital payment capability within the infotainment system allowing the driver to pay for services — EV charging, parking, tolls, fuel, subscriptions — directly from the vehicle without a physical card or separate device.",Linked payment card for EV charging only.,In-car payment for charging and parking via integrated wallet.,"Full in-car payment gateway: charging, parking, tolls, on-demand subscriptions, and in-car marketplace.",In-Vehicle Payment Gateway (Digital Wallet)
INFOT.,Biometric recognition for personalization and buy (fingerprint/face/voice),,"Use of fingerprint, facial, or voice biometrics for secure driver identification, enabling automatic profile loading and authorising in-car purchases without a PIN or password.",Single biometric modality for driver identification only.,Biometric ID used for profile personalisation and basic in-car authentication.,"Multi-modal biometrics (fingerprint + face + voice) for personalisation, payment authorisation, and access control.",Biometric Driver Recognition (Fingerprint / Face / Voice)
INFOT.,Video conference (teams/meet/webex),,"Video conferencing applications (Microsoft Teams, Google Meet, Zoom, Webex) accessible on the infotainment screen when parked. ",Audio-only conferencing via integrated speaker system (parked).,At least one major video conferencing app available on infotainment (parked).,"Video conferencing using embedded interior camera, microphone array, and speaker system (parked).",In-Vehicle Video Conferencing
INFOT.,Digital Handbook (Electronic Owners Manual),,"A digital, searchable version of the vehicle owner's manual embedded in the infotainment system, enabling drivers to quickly find operating instructions and safety information contextually — without physical paperwork.",Static PDF or QR-code link to online manual only.,Interactive searchable digital handbook within the infotainment system.,Context-aware handbook proactively surfacing relevant information based on active vehicle function or driver query.,Digital Owner's Manual (Electronic Handbook)
INFOT.,Off road pages / Performance Page,,"Dedicated infotainment pages displaying real-time off-road or performance telemetry: pitch/roll angles, wheel articulation, terrain mode status, traction indicators, G-force meter, and lap timers.","Basic telemetry page (pitch/roll angles, compass).","Extended off-road page with traction data, differential status, and drive-mode indicator.","Full suite: real-time angle, traction, terrain mode, driveline status, G-force meter, configurable layout.",Off-Road and Performance Telemetry Pages
INFOT.,"Drive mode selection (terrain mode, sport mode, race…) Basic: predefined settings; High: individual drive mode",,"System allowing the driver to select or configure driving modes that alter powertrain, steering, suspension, traction, and braking parameters.","Fixed OEM-defined presets only (Eco, Normal, Sport).","Predefined modes plus ability to adjust 1–2 parameters (e.g., throttle response, steering weight).","Fully customisable individual mode: driver sets and saves all parameters (powertrain, steering, suspension, regen, HMI theme).",Drive Mode Selection (Terrain / Sport / Custom)
INFOT.,Trailer Tow Pages,,"Dedicated infotainment application consolidating all trailer-related information and controls into a single interface: trailer profiles, hitch guidance, real-time trailer telemetry, lighting status, and camera feeds.","Basic towing info page (tongue weight, trailer connection status).",Towing assistant with trailer profile setup and key real-time data.,"Full trailer management hub: profiles, real-time telemetry, lighting status, camera feeds, and towing guidance in one interface.",Trailer Towing Management Pages
▶  REMOTE APP,Remote Application & Digital Services,,,,,,
Category Overview,,"Features accessible via the manufacturer's companion smartphone application, enabling owners to monitor and control their vehicle remotely. Spans vehicle status monitoring (doors, windows, range), remote commands (lock/unlock, climate pre-conditioning), digital key access, and advanced telematics. Increasingly important for fleet managers and multi-driver households, and a key retention driver for connected-services subscriptions.",,,,,
REMOTE APP,Door status (lock / unlock),,Ability to view door lock status (locked/unlocked) via a companion mobile application.,—,—,—,Remote Door Lock Status Monitoring
REMOTE APP,Window Status,,"Companion app feature showing the open/closed/partially-open status of each vehicle window, helping prevent weather damage when windows are inadvertently left open.",Binary open/closed indication for all windows.,Percentage open level shown for each individual window.,Individual window status with alert notification if left open.,Remote Window Status Monitoring
REMOTE APP,Headlights Status,,"Ability to view the current status of the vehicle's headlights (e.g., on, off, auto mode) via a companion mobile application.",—,—,—,Remote Headlights Status Monitoring
REMOTE APP,Trunk Status,,"Ability to view the current status of the vehicle's trunk/tailgate (e.g., open, closed) via a companion mobile application.",—,—,—,Remote Trunk and Tailgate Status Monitoring
REMOTE APP,"Range Status (fuel, battery)",,"Companion app display of the vehicle's current fuel level (ICE/hybrid) or battery SoC and estimated remaining driving range (EV/PHEV), helping owners plan refuelling or recharging needs.",Current fuel level or battery SoC % displayed.,Estimated remaining driving range displayed.,Range with contextual guidance (nearby chargers/stations if range is low) and historical range trends.,Remote Driving Range Status (Fuel / Battery)
REMOTE APP,Parking position (GPS),,"Companion app feature that displays the vehicle's last known GPS location on a map, helping drivers locate their parked vehicle in unfamiliar areas or large car parks.",Last known GPS coordinates displayed as text.,Interactive map showing parked vehicle location.,"Map with vehicle position, nearby landmarks, and walking navigation to vehicle.",Remote Vehicle Location (GPS Parking Position)
REMOTE APP,Driving Data (past trip analytics),,"Companion app access to historical trip data including distance, duration, energy or fuel consumption, average speed, driving efficiency scores, and CO₂ emissions — enabling drivers to track and improve their driving habits.",Distance and duration of last trip only.,Multi-trip history with energy/fuel consumption and average speed.,"Detailed analytics dashboard: driving style score, CO₂ savings, efficiency trends, exportable data.",Remote Trip History and Driving Analytics
REMOTE APP,Maintenance Reminder,,"Notifications or reminders regarding upcoming scheduled vehicle maintenance (e.g., service intervals, inspections), accessible via the companion mobile app and/or displayed in the vehicle.",—,—,—,Remote Maintenance Reminder and Service Alerts
REMOTE APP,Vehicle State of health,,"Ability to view an overview of the vehicle's health status (e.g., tire pressure information, status of critical fluid levels, diagnostic trouble codes, or general system check results) via a companion mobile application.",—,—,—,Remote Vehicle Health Status Monitoring
REMOTE APP,Headlights On/Off  (remote light),,"Remote command via the companion app to activate the vehicle's headlights (typically as a locator flash), helping the driver find the vehicle in a crowded or dark parking area.",Remote light flash to locate vehicle.,Remote headlight on/off with duration control.,Remote light activation with welcome/farewell light sequence.,Remote Headlights Activation (Vehicle Locator)
REMOTE APP,Lock/Unlock,,Ability to remotely lock or unlock the vehicle's doors via a companion mobile application.,—,—,—,Remote Door Lock and Unlock
REMOTE APP,Horn & Indicators On/Off,,"Remote activation of the vehicle's horn and/or hazard indicators via the companion app, used to locate the car or as an emergency alert.",Remote hazard light activation only.,Remote horn and hazard light activation together.,"Remote horn, hazard, and personalised light/sound sequence with location sharing.",Remote Horn and Hazard Light Activation
REMOTE APP,Trunk unlock (independant from doors),,"Remote command via the companion app to unlock or open the boot/trunk independently, without unlocking the main passenger doors — useful for secure parcel delivery or valet access.",Remote trunk unlock independent of door lock state.,Remote trunk unlock with open/close command (powered tailgate).,Remote trunk unlock plus scheduled access window for delivery services.,Remote Trunk Unlock (Independent of Doors)
REMOTE APP,Window & Sunroof Open/Close,,"Remote command via the companion app to open or close the vehicle's windows and/or sunroof, useful for ventilation management or confirming closure before departing.",Remote full open or full close of windows.,Remote window operation with partial position adjustment.,Remote window and sunroof control with comfort vent preset and scheduled ventilation.,Remote Window and Sunroof Control
REMOTE APP,Thermal Pre-conditionning (Climate),,"Remote activation of the vehicle's climate control system via the companion app, allowing the cabin to reach a desired temperature before the driver enters — particularly valuable in extreme weather or for EV pre-conditioning.",Remote climate on/off at last-used temperature setting.,Remote climate with target temperature setting and departure timer.,"Fully customisable: zone-by-zone temperature, seat heating/cooling, scheduled multi-event timers.",Remote Cabin Pre-Conditioning (Climate Control)
REMOTE APP,"Digital Key ( Access/start from Smart Device) NFC, UWB, BT",,Technology enabling a compatible smartphone to function as a vehicle key. ,NFC-based digital key requiring active device tap to unlock and start.,BLE digital key with proximity unlock and active start confirmation.,UWB passive digital key: hands-free proximity unlock and authenticated start without any device interaction.,Digital Key via Smartphone (NFC / Bluetooth / UWB)
REMOTE APP,Remote Engine Start (ICE) (where allowed),,"Remote engine start via the companion app for ICE or hybrid vehicles, primarily to pre-condition the cabin climate before the driver boards. Subject to legal requirements by market.",Remote engine start via physical key fob only (not app-based).,Remote engine start via app with timer scheduling.,"Remote start with full cabin pre-conditioning (climate, seat heat/cool) and status feedback in app.",Remote Engine Start (ICE and Hybrid Vehicles)
REMOTE APP,Alarm Notification,,"Push notification sent to the owner's smartphone if the vehicle's anti-theft alarm is triggered, enabling immediate awareness and response regardless of proximity.",In-app push notification when vehicle alarm is triggered.,Alarm notification with vehicle GPS location at time of trigger.,Alarm notification with live camera snapshot and emergency contact integration.,Remote Anti-Theft Alarm Notification
REMOTE APP,Area/speed/ time monitoring,,"Telematics features allowing the owner to set geographic geofences, speed limits, and time-based access restrictions for the vehicle, receiving alerts via the app when boundaries are exceeded — useful for fleet and young-driver management.",Speed alert notification when vehicle exceeds defined limit.,Geo-fence boundary alert plus speed limit alert.,"Combined geo-fence, speed, and curfew time monitoring with automated event log and full alert customisation.","Remote Geofence, Speed and Curfew Monitoring"
REMOTE APP,Pet mode / Camp Mode /Work Mode,,Specialised parked-vehicle modes. Pet Mode maintains safe cabin temperature for animals with an exterior screen notification. Camp Mode enables extended climate and power use. Work Mode activates power outlets and productivity features.,Cabin temperature maintained for pet safety with exterior display notification.,Pet mode + Camp mode with USB power enabled for extended stay.,"Pet, Camp, and Work modes with power management, app monitoring, and occupant safety interlock.",Pet Mode / Camp Mode / Work Mode
REMOTE APP,Remote Interior/ 360 Exterior View,,"Remote live camera feed via the companion app, showing a view from the vehicle's interior camera(s) or 360-degree exterior surround cameras — enabling security checks or confirming vehicle surroundings remotely.",Static image from one exterior camera viewable in app.,Live exterior camera feed from one or more cameras in app.,Live 360° exterior view and/or interior camera feed accessible remotely via app.,Remote Live Camera View (Interior and 360 Exterior)
▶  ADAS Driving,ADAS — Active Driving Assistance,,,,,,
Category Overview,,"Advanced Driver Assistance Systems handling longitudinal and lateral driving tasks while in motion: Adaptive Cruise Control (ACC), Lane Centering, Predictive Speed management, Hands-Free Level 2+, and Conditional Level 3 autonomy. These systems reduce driver fatigue on long journeys, contribute to safety ratings, and represent the primary axis of competitive differentiation toward autonomous driving capability.",,,,,
ADAS Driving,Assisted Driving L2 : ACC + lane centering / positioning,,The system can also provide steering assistance and suppress acceleration at low speeds to help prevent collisions,—,—,—,Level 2 Assisted Driving (ACC with Lane Centring)
ADAS Driving,Intelligent Speed Assist ,,System that reads road speed limit signs via camera and/or map data. ,Speed limit sign recognition displayed as information only.,Detected speed limit proposed to driver who confirms via button to set ACC.,Automatic speed adjustment to match detected road speed limit sign.,Intelligent Speed Assist (Speed Limit Recognition)
ADAS Driving,Predictive ACC ,,Enhancement of standard ACC that uses map and real-time data to anticipate speed changes before sensors detect them. ,Standard ACC with fixed following distance — no predictive adjustment.,Predictive speed reduction for upcoming speed limit changes and curves.,"Predictive speed management using map data: speed limits, curves, roundabouts, and intersections.",Predictive Adaptive Cruise Control
ADAS Driving,Extended Auto Resume with leading vehicle after complete stop,,"While using the ACC Stop & Go feature, the Extended Auto Resume function aims to increase the duration between the stop and go status.",—,—,—,Extended Stop-and-Go Auto Resume
ADAS Driving,Lane Change systems,,Automated lane-change assistance on highways,Driver-initiated: driver activates the turn indicator; system checks the target lane and executes the manoeuvre if the space is clear.,"Driver-confirmed: system detects that a lane change is relevant (to follow the planned route or overtake a slow vehicle), proposes it to the driver, and executes only after the driver confirms.","System-initiated: system autonomously identifies the need to overtake a slow vehicle, proposes the manoeuvre, and — after driver confirmation — fully executes the lane change including return to the original lane.",Automated Lane Change Assist
